Neuroticism,Extraversion,Openness to Experience,Agreeableness,Conscientiousness,Zipf coef.
78,94,112,91,74,0.9928
79,82,83,92,78,1.216
56,89,86,64,81,1.38
86,73,79,93,62,1.09
86,68,91,97,68,2.24
57,75,80,77,94,1.065
92,94,81,74,62,1.2335
89,54,98,77,88,1.0071
67,86,107,78,91,0.93
74,57,81,79,75,1.13
82,69,100,87,70,1.26
34,100,96,95,106,1.5519
50,77,97,74,91,0.69
92,77,106,81,62,1.52
92,79,83,77,114,1.1
81,107,109,95,87,0.29
80,58,98,99,81,1.03
58,72,88,89,91,0.96
80,65,73,87,83,1.14
75,74,89,91,94,1.17
55,87,93,103,91,1.02
61,79,94,87,114,1.02
71,89,103,81,97,0.745
67,81,108,99,105,2.58
89,44,76,93,73,0.45
71,108,87,67,84,1.16
93,88,95,88,69,0.88
